NUMERO_LIGNE;CLIENT;DATE;DATE_LIVRAISON;ARTICLE;QUANTITE_CAISSE;NUMERO_COMMANDE
1;10097;21/01/2022;21/01/2022;3089;1;73
2;10097;21/01/2022;21/01/2022;3091;2;73
3;10097;21/01/2022;21/01/2022;3092;2;73
4;10097;21/01/2022;21/01/2022;3090;2;73
5;10097;21/01/2022;21/01/2022;92;3;73
6;10097;21/01/2022;21/01/2022;2942;1;73
7;10097;21/01/2022;21/01/2022;3087;1;73
8;10097;21/01/2022;21/01/2022;3088;1;73
9;10097;21/01/2022;21/01/2022;3080;1;73
10;10097;21/01/2022;21/01/2022;3081;2;73
11;10097;21/01/2022;21/01/2022;3082;1;73
12;10097;21/01/2022;21/01/2022;3083;1;73
13;10097;21/01/2022;21/01/2022;3084;1;73
14;10097;21/01/2022;21/01/2022;3085;1;73
15;10097;21/01/2022;21/01/2022;3086;2;73
16;10097;21/01/2022;21/01/2022;3021;1;73
17;10097;21/01/2022;21/01/2022;3029;1;73
18;10097;21/01/2022;21/01/2022;2889;1;73
19;10097;21/01/2022;21/01/2022;3055;1;73
20;10097;21/01/2022;21/01/2022;3064;1;73
21;10097;21/01/2022;21/01/2022;3065;1;73
22;10097;21/01/2022;21/01/2022;2618;1;73
1;10024;24/01/2022;24/01/2022;2592;1;74
2;10024;24/01/2022;24/01/2022;3000;1;74
3;10024;24/01/2022;24/01/2022;3087;1;74
4;10024;24/01/2022;24/01/2022;3088;1;74
5;10024;24/01/2022;24/01/2022;3068;1;74
6;10024;24/01/2022;24/01/2022;3070;1;74
7;10024;24/01/2022;24/01/2022;3080;2;74
8;10024;24/01/2022;24/01/2022;3081;2;74
9;10024;24/01/2022;24/01/2022;3082;1;74
10;10024;24/01/2022;24/01/2022;3083;2;74
11;10024;24/01/2022;24/01/2022;3084;2;74
12;10024;24/01/2022;24/01/2022;3085;2;74
13;10024;24/01/2022;24/01/2022;3086;2;74
14;10024;24/01/2022;24/01/2022;3045;1;74
15;10024;24/01/2022;24/01/2022;3060;1;74
16;10024;24/01/2022;24/01/2022;2995;1;74
17;10024;24/01/2022;24/01/2022;3090;2;74
18;10024;24/01/2022;24/01/2022;3091;2;74
19;10024;24/01/2022;24/01/2022;3092;2;74
20;10024;24/01/2022;24/01/2022;3096;1;74
21;10024;24/01/2022;24/01/2022;3089;2;74
22;10024;24/01/2022;24/01/2022;2931;1;74
23;10024;24/01/2022;24/01/2022;3056;2;74
24;10024;24/01/2022;24/01/2022;2942;1;74
25;10024;24/01/2022;24/01/2022;2889;1;74
26;10024;24/01/2022;24/01/2022;92;2;74
27;10024;24/01/2022;24/01/2022;3051;1;74
28;10024;24/01/2022;24/01/2022;2638;1;74
1;10061;27/01/2022;27/01/2022;3052;1;75
2;10061;27/01/2022;27/01/2022;2572;6;75
3;10061;27/01/2022;27/01/2022;3077;6;75
4;10061;27/01/2022;27/01/2022;3078;4;75
5;10061;27/01/2022;27/01/2022;3068;1;75
6;10061;27/01/2022;27/01/2022;3079;1;75
