ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
1;1;1.7;125;2;both;1;FRAIS ADMINISTRATIF           ;;100;0;0
2;2;1.34;96;2;both;1;DESPERADOS 33VP X24           ;BRASSERIE DE L'ESPERANCE;33;5.9;0
3;3;2;108;2;both;1;VERRE BAVIK 50CL              ;;100;0;0
4;4;30;-46;2;both;1;FACT CONSIGNE NON RESTITUEE   ;;100;0;0
8;8;2.05;159;2;both;1;EFFET PAPILLON IPA 33VP       ;BRASSERIE EFFET PAPILLON;33;6;0
10;10;27;7;2;both;1;RHUM ABUELO 12 ANEJO 70CL     ;;70;40;0
13;13;34.34;6;2;both;1;RHUM ANGOSTURA 1919 AMBRE 70CL;;70;40;0
17;17;13.37;17;2;both;1;RHUM BRUGAL ESP.EXTRA DRY 70CL;;70;40;0
20;20;37.11;1;2;both;1;RHUM DIPLOMATICO RES.EXCLU 70C;;70;40;0
21;21;30.5;0;2;both;1;RHUM DON PAPA 7 ANS 70CL      ;;70;40;0
35;35;41.36;1;2;both;1;FRISURE EPICEA 1ER PRIX 20KG  ;;100;0;0
45;45;10.4;23;2;both;1;MARTINI BLANC 100CL           ;;100;14.4;0
46;46;10.3;13;2;both;1;MARTINI ROUGE 100CL           ;;100;14.5;0
48;48;156.47;1;2;both;1;RHUM DIPLOMATICO AMBASSADOR 70;;70;47;0
50;50;14.1;7;2;both;1;LILLET BLANC 75CL             ;;75;17;0
51;51;10.9;0;2;both;1;LILLET ROUGE 75CL             ;;75;17;0
52;52;12.13;5;2;both;1;LILLET ROSE 75CL              ;;75;17;0
57;57;13.29;6;2;both;1;BERGER PASTIS JAUNE 100 CL    ;;100;45;0
58;58;15.79;10;2;both;1;CASANIS 100CL                 ;;100;45;0
60;60;16.17;8;2;both;1;PASTIS 51 100CL               ;;100;45;0
62;62;16.95;5;2;both;1;RICARD 100CL                  ;;100;45;0
65;65;16.95;3;3;both;1;BITTER AROMATIC ANGOSTURA 20CL;;20;44.7;0
66;66;10.65;13;2;both;1;PICON BIERE 100CL             ;;100;18;0
75;75;15.41;8;2;both;1;BERGER BLANC 100CL            ;;100;45;0
76;76;1.5;0;2;both;1;PINT EDGE                     ;;100;0;0
91;91;35.92;2;2;both;1;ARMAGNAC MAUBET VSOP 70CL     ;VIGNOBLES FONTAN;70;42;0
95;95;18.5;2;2;both;1;ABSINTHE VERT & V. BERGER 70CL;;70;55;0
99;99;26.08;2;2;both;1;LIBERTINE FLEUR ABSINTHE 70CL ;;70;60;0
142;142;11.5;5;2;both;1;ANISETTE EXTRA FINE M.B. 70CL ;;70;25;0
144;144;12.85;16;2;both;1;BAILEY'S CREME WHISKY 70CL    ;;70;17;0
146;146;15.75;7;2;both;1;LIQ AMARULA FRUIT CREAM 70CL  ;;70;17;0
147;147;12.65;10;2;both;1;CHOUFFE COFFEE LIQUEUR   70CL ;;70;20;0
148;148;33;2;2;both;1;WHISKY BIG PEAT TOURBE 70CL   ;;70;46;0
152;152;16.95;16;2;both;1;COINTREAU LIQUEUR 70CL        ;;70;40;0
154;154;10.1;2;2;both;1;LIQUEUR CACAO BRUN MB 70CL    ;;70;25;0
155;155;10.35;10;2;both;1;CREME CASSIS GIFFARD 100CL    ;;100;16;0
156;156;22.99;0;2;both;1;GIN CHRISTIAN DROUIN BLEU 70CL;;70;42;0
166;166;13.2;5;2;both;1;KRUPNIK VODKA AROM.MIEL EPI 70;;70;38;0
171;171;10.8;3;2;both;1;LIQUEUR CURACAO BLEU 70CL     ;;70;25;0
176;176;10.4;1;2;both;1;LIQUEUR ABRICOT MB 70 CL      ;;70;30;0
181;181;19.8;8;2;both;1;LIQUEUR SOUTHERN COMFORT 70CL ;;70;35;0
182;182;12.8;7;2;both;1;PARFAIT TRIPLE SEC 70CL       ;;70;39;0
183;183;19.05;-1;2;both;1;LIQUEUR FIREBALL 70CL         ;;70;33;0
188;188;10.45;26;2;both;1;MINT'S VERT 15° MB 70CL       ;;70;15;0
190;190;11.17;6;2;both;1;PISANG AMBON LIQUEUR 70CL     ;;70;17;0
192;192;13.96;17;2;both;1;VODKA ARRANGE STOLI CITROS 70C;;70;37.5;0
193;193;13.96;13;2;both;1;VODKA ARRANGE STOLI HOT 70CL  ;;70;37.5;0
197;197;13.69;11;2;both;1;VODKA ARRANGE STOLI MIEL 70CL ;;70;37.5;0
206;206;10.9;19;2;both;1;VODKA SOBIESKI 70CL           ;;70;37.5;0
210;210;14.3;0;2;both;1;VODKA ZUBROWKA HERB BISON 70CL;;70;40;0
212;212;18;11;2;both;1;TEQUILA JOSE CUERVO GOLD 70CL ;;70;38;0
223;223;40;10;2;both;1;WH.LAPHROAIG QUARTER CASK 70CL;;70;48;30
225;225;21;3;2;both;1;WHISKY TOKINOKA WHITE 40° 50CL;;50;40;0
233;233;122.4;1;2;both;1;WHISKY BALLANTINES 21A 70CL   ;;70;43;0
257;257;17.9;16;2;both;1;WHISKY JACK DANIEL'S N°7  70CL;;70;40;0
258;258;9.88;87;2;both;1;WH JIM BEAM WHITE 70CL        ;;70;40;0
264;264;33.25;6;2;both;1;WH CONNEMARA DISTILLER'S 70CL ;;70;43;0
275;275;16.4;9;2;both;1;WHISKY PADDY 70CL             ;;70;40;0
291;291;5.78;5;2;both;1;MAUBET CUVEE COUP COEUR 75CL  ;VIGNOBLES FONTAN;75;12.5;23
295;295;4.65;6;2;both;1;VILLA DRIA PETIT MANSENG 75CL ;;75;12.5;23
296;296;5.5;0;2;both;1;TATTOO SAUVIGNON GROS MANS 75C;VIGNOBLES FONTAN;75;11;23
297;297;4.2;31;2;both;1;MAUBET BLANC SEC FRUITE 75CL  ;VIGNOBLES FONTAN;75;11.5;22
298;298;19.29;2;2;both;1;RHUM ARRANGE EPICES 70CL      ;;70;23.7;0
302;302;4.86;23;2;both;1;LONGUEROCHE L'OC BLANC 75CL   ;DOMAINE LONGUEROCHE;75;13;22
303;303;4.86;316;2;both;1;LONGUEROCHE L'OC ROSE 75CL    ;DOMAINE LONGUEROCHE;75;13;21
304;304;4.86;8;2;both;1;LONGUEROCHE L'OC ROUGE 75CL   ;DOMAINE LONGUEROCHE;75;13;20
305;305;7.02;14;2;both;1;LONGUEROCHE LE VIOGNIER  75CL ;DOMAINE LONGUEROCHE;75;13;22
327;327;5.42;6;2;both;1;RAMON BILBAO CRIANZA 75CL     ;;75;13.5;0
332;332;13.34;4;2;both;1;ESCUDO ROJO CHARDONNAY 75CL   ;;75;14;0
333;333;14.48;22;2;both;1;ESCUDO ROJO ROUGE 2022 75CL   ;;75;14;0
368;368;37.04;0;2;both;1;LA CLEF DU VIN TRAVEL PEUGEOT ;;100;0;0
369;369;25.1;2;2;both;1;CARAFE PICPOUL BEC BISEAUTE   ;;100;0;0
370;370;8.55;8;2;both;1;VERRE ESPRIT 180 MERLOT 40CL  ;;100;0;0
395;395;106.11;-9;2;both;1;DÉTENDEURS INTERM 3 SORTIES   ;;100;0;0
396;396;135.1;-1;2;both;1;DETENDEUR PRINC AP.GAUCHE     ;;100;0;0
405;405;4.1;58;2;both;1;EFFET PAPILLON IPA 75VP       ;BRASSERIE EFFET PAPILLON;75;6;1
407;407;1.98;43;2;both;1;EFFET PAP PALE ALE 33VP       ;BRASSERIE EFFET PAPILLON;33;5.5;8
408;408;1471.35;-2;2;both;1;GROUPE OCCASION               ;;100;0;0
415;415;76.7;0;2;both;1;ADAPTATEUR RINCAGE TETE CREUSE;;100;0;0
418;418;6.73;0;2;both;1;DAMIENS PACH V BLANC SEC 75CL ;;75;13.5;22
423;423;1690;0;2;both;1;FROID SEC 1 TIRAGE 1/3CV 70L/H;;100;0;0
429;429;9.86;0;2;both;1; LONGUEROCHE AURELIEN RGE 75CL;DOMAINE LONGUEROCHE;75;14.5;20
432;432;1471.35;0;2;both;1;GROUPE FC LINE CONV 70 -1/2CV ;;100;0;0
434;434;6.3;79;2;both;1;LONGUEROCHE TRADITION RGE 75CL;DOMAINE LONGUEROCHE;75;13;20
436;436;15.46;1;2;both;1;LONGUEROCHE C RAOUL RGE 75CL  ;DOMAINE LONGUEROCHE;75;13.5;20
437;437;8.5;21;2;both;1;LONGUEROCHE C RESERVEE RG 75CL;DOMAINE LONGUEROCHE;75;13;20
438;438;32.37;12;2;both;1;BIB 10L FUT CHENE ROUGE       ;DOMAINE LONGUEROCHE;1000;12.5;20
439;439;24.57;11;2;both;1;BIB 10L TRADITION ROUGE 12°5  ;DOMAINE LONGUEROCHE;1000;12.5;20
440;440;19.37;6;2;both;1;BIB 5L FUT CHENE ROUGE        ;DOMAINE LONGUEROCHE;500;12.5;20
441;441;15.47;7;2;both;1;BIB 5L TRADITION ROUGE 12°5   ;DOMAINE LONGUEROCHE;500;12.5;20
479;479;10.95;7;2;both;1;SUZE 100CL                    ;;100;15;0
481;481;12.04;0;2;both;1;PASSOA 70CL                   ;;70;15;0
483;483;26.22;3;2;both;1;BIB 3L MUSCAT RIVESALTES      ;;300;15.5;0
485;485;8.1;0;2;both;1;MUSCAT VALAURIA 100CL         ;;100;15.5;0
522;522;2.9;330;2;both;1;RATZ AMBREE 30L               ;BRASSERIE RATZ;100;5.5;4
525;525;2.17;-90;2;both;1;SAS PILS 30L                  ;BRASSERIE HET SAS;100;5;7
528;528;3.15;360;2;both;1;HOMMELBIER 30L                ;BRASSERIE VAN EECKE;100;7.5;10
535;535;3.89;1000;2;both;1;ST STEFANUS BLONDE 20L        ;ASAHI;100;7;10
549;549;3.05;300;2;both;1;RATZ BLANCHE 30L              ;BRASSERIE RATZ;100;4.5;3
558;558;4.15;660;2;both;1;LUPULUS TRIPLE BLONDE 20L     ;BRASSERIE LUPULUS;100;8.5;10
559;559;4.33;0;2;both;1;LUPULUS BRUNE 20L             ;BRASSERIE LUPULUS;100;8.5;12
561;561;3.94;400;2;both;1;DUPONT MONKS STOUT 20L        ;BRASSERIE DUPONT;100;5.2;5
583;583;4.6;640;2;both;1;MOINETTE AMBREE 20L           ;BRASSERIE DUPONT;100;8.5;4
603;603;2.02;271;2;both;1;BOON FRAMBOISE 25VC           ;BRASSERIE BOON ;25;5;13
604;604;1.53;186;2;both;1;BOON KRIEK 25VC               ;BRASSERIE BOON ;25;4;13
605;605;1.45;391;2;both;1;BOON FARO 25VC                ;BRASSERIE BOON ;25;5;13
610;610;1.63;120;2;both;1;DUCHESSE BOURGOGNE 25VC       ;BRASSERIE VERHAEGHE;25;6.2;0
611;611;1.19;339;2;both;1;GRISETTE BLANCHE BIO 25VC     ;BRASSERIE SAINT FEUILLIEN;25;5.5;3
612;612;1.28;425;2;both;1;GRISETTE BLONDE BIO 25VC      ;BRASSERIE SAINT FEUILLIEN;25;5.5;7
614;614;0.99;272;2;both;1;HOMMELBIER 25VC               ;BRASSERIE VAN EECKE;25;7.5;0
622;622;1.36;385;2;both;1;LINDEMANS KRIEK 25VC          ;BRASSERIE LINDEMANS;25;3.5;0
625;625;1.03;54;2;both;1;LINDEMANS GUEUZE 25VC         ;BRASSERIE LINDEMANS;25;5;13
627;627;0.99;219;2;both;1;BLANCHE DE NAMUR 25VC         ;BRASSERIE DU BOCQ;25;4.5;3
642;642;1.63;0;2;both;1;AREND BLONDE 33VC             ;BRASSERIE DE RYCK;33;6.5;7
647;647;1.83;81;2;both;1;BARBAR BLONDE MECA 33VC       ;BRASSERIE LEFEBVRE;33;8;0
658;658;1.16;222;2;both;1;ST BERNARDUS BLANCHE 33VC     ;BRASSERIE SAINT BERNARD;33;5.5;0
659;659;1.54;164;2;both;1;ST BERNARDUS TRIPLE 33VC      ;BRASSERIE SAINT BERNARD;33;8;10
664;664;1.59;0;2;both;1;BRUGSE ZOT BLONDE 33VC        ;BRASSERIE DE HALVE MAAN;33;6;7
665;665;1.77;260;2;both;1;BUSH AMBREE CARACTERE 33VC    ;BRASSERIE DUBUISSON;33;12;0
669;669;1.74;28;2;both;1;CAROLUS AMBRIO 33VC           ;BRASSERIE HET ANKER;33;8;4
670;670;1.7;118;2;both;1;CAROLUS CLASSIC 33VC          ;BRASSERIE HET ANKER;33;8.5;12
672;672;1.71;245;2;both;1;CAROLUS TRIPLE 33VC           ;BRASSERIE HET ANKER;33;9;0
673;673;1.58;90;2;both;1;CHIMAY TRIPLE 33VC            ;BRASSERIE DE CHIMAY SCOURMONT;33;8;10
674;674;1.72;40;2;both;1;CHIMAY BLEU 33VC              ;BRASSERIE DE CHIMAY SCOURMONT;33;9;0
679;679;1.77;4;2;both;1;DELIRIUM TREMENS 33VC         ;BRASSERIE HUYGHE;33;8.5;0
699;699;1.71;432;2;both;1;DE RANKE GULDENBERG 33VC      ;BRASSERIE DE RANKE;33;8;10
701;701;1.49;9;2;both;1;GULDEN DRAAK 33VC             ;BRASSERIE VAN STEENBERGE;33;10.5;12
706;706;2.34;48;2;both;1;HERCULE STOUT 33VC X12        ;BRASSERIE DES LEGENDES ;33;9;5
710;710;1.04;324;2;both;1;KAPITTEL BLONDE 33VC          ;BRASSERIE VAN EECKE;33;6.5;0
714;714;1.84;354;2;both;1;KARMELIET TRIPLE 33VC         ;BRASSERIE BOSTEELS;33;8.4;0
726;726;1.66;331;2;both;1;MOINETTE BLONDE 33VC          ;BRASSERIE DUPONT;33;8.5;10
729;729;1.66;229;2;both;1;MOINETTE AMBREE 33VC          ;BRASSERIE DUPONT;33;8.5;4
732;732;1.83;126;2;both;1;ORVAL 33VC                    ;ABBAYE ORVAL;33;6.2;8
734;734;1.46;165;2;both;1;PATER LIEVEN BLONDE 33VC      ;BRASSERIE VAN DEN BOSSCHE ;33;6.5;0
735;735;1.37;3;2;both;1;PATER LIEVEN BRUNE 33VC       ;BRASSERIE VAN DEN BOSSCHE ;33;6.5;0
736;736;1.71;44;2;both;1;PATER LIEVEN TRIPLE 33VC      ;BRASSERIE VAN DEN BOSSCHE ;33;8;0
746;746;2.25;113;2;both;1;ROCHEFORT 10 33VC             ;ABBAYE DE SAINT REMY;33;11.3;12
747;747;1.43;111;2;both;1;ROCHEFORT 6 33VC              ;ABBAYE DE SAINT REMY;33;7.5;29
748;748;1.77;103;2;both;1;ROCHEFORT 8 33VC              ;ABBAYE DE SAINT REMY;33;9.2;12
751;751;2;60;2;both;1;QUINTINE AMBREE 33VC X12      ;BRASSERIE DES LEGENDES ;33;8.5;4
752;752;1.3;2405;2;both;1;SAISON DUPONT 33VC            ;BRASSERIE DUPONT;33;6.5;11
753;753;1.94;69;2;both;1;QUINTINE BLONDE 33VC X12      ;BRASSERIE DES LEGENDES ;33;8;7
756;756;1.81;175;2;both;1;ST BERNARDUS ABT 12 33VC      ;BRASSERIE SAINT BERNARD;33;10;0
757;757;1.43;101;2;both;1;ST BERNARDUS PRIOR 8° 33VC    ;BRASSERIE SAINT BERNARD;33;8;12
