v_products_model	v_products_price	v_products_quantity	v_tax_class_title	EOREOR	v_famille	v_sousfamille
1	1.7	136	1	EOREOR	87	0
2	1.338627020121	0	1	EOREOR	20	10
3	2	108	1	EOREOR	87	26
4	30	-46	1	EOREOR	91	1
8	2.055	-21	1	EOREOR	20	10
10	27	6	1	EOREOR	1	2
13	34.33662353516	4	1	EOREOR	1	2
17	13.3652	17	1	EOREOR	1	2
20	37.10785522461	0	1	EOREOR	1	2
21	30.5	-1	1	EOREOR	1	2
35	41.36	1	1	EOREOR	87	16
45	10.4	19	1	EOREOR	1	8
46	10.3	18	1	EOREOR	1	8
48	156.4704052734	1	1	EOREOR	1	2
50	14.1	14	1	EOREOR	1	14
51	10.9	6	1	EOREOR	1	14
52	12.129	2	1	EOREOR	1	14
57	13.28680027008	6	1	EOREOR	1	17
58	15.79	9	1	EOREOR	1	17
60	16.17474951744	11	1	EOREOR	1	17
62	16.95	40	1	EOREOR	1	17
65	16.95	0	1	EOREOR	1	20
66	10.65	8	1	EOREOR	1	20
75	15.4098563385	8	1	EOREOR	1	17
76	1.5	0	1	EOREOR	87	26
91	35.92350082398	1	1	EOREOR	1	23
95	18.5	2	1	EOREOR	1	29
99	26.08295974731	2	1	EOREOR	1	29
142	11.5	5	1	EOREOR	1	41
144	12.85	6	1	EOREOR	1	41
146	15.75	7	1	EOREOR	1	41
147	12.65	10	1	EOREOR	1	41
148	33	2	1	EOREOR	1	62
152	16.95	14	1	EOREOR	1	41
154	10.1	1	1	EOREOR	1	41
155	10.3179599762	6	1	EOREOR	1	41
156	22.99	0	1	EOREOR	1	38
166	13.2	5	1	EOREOR	1	41
171	10.8	3	1	EOREOR	1	41
176	10.4	1	1	EOREOR	1	41
181	19.8	8	1	EOREOR	1	41
182	13.09535980225	9	1	EOREOR	1	41
183	19.05045071411	-2	1	EOREOR	1	41
188	10.45	73	1	EOREOR	1	41
190	11.17	6	1	EOREOR	1	41
192	13.961	17	1	EOREOR	1	50
193	13.961	13	1	EOREOR	1	50
197	13.691	11	1	EOREOR	1	50
206	10.9	27	1	EOREOR	1	50
210	14.3	0	1	EOREOR	1	50
212	18.38050624847	15	1	EOREOR	1	56
223	40	9	1	EOREOR	1	63
225	21	2	1	EOREOR	1	62
233	122.397	1	1	EOREOR	1	65
257	17.9	43	1	EOREOR	1	71
258	9.8774	87	1	EOREOR	1	71
264	33.25	6	1	EOREOR	1	74
275	17.04120597839	14	1	EOREOR	1	74
291	5.778000283241	33	1	EOREOR	10	4
295	4.653	6	1	EOREOR	10	4
296	5.5	0	1	EOREOR	10	4
297	4.2	13	1	EOREOR	10	4
298	19.28711929321	2	1	EOREOR	1	5
302	4.859999871254	23	1	EOREOR	10	5
303	4.859999871254	98	1	EOREOR	10	5
304	4.859999871254	8	1	EOREOR	10	5
305	7.019999742508	13	1	EOREOR	10	5
327	5.418	6	1	EOREOR	10	11
332	13.33800029755	4	1	EOREOR	10	12
333	14.48200044632	22	1	EOREOR	10	12
368	37.03749895096	0	1	EOREOR	87	27
369	25.09999990463	2	1	EOREOR	87	27
370	8.550000190735	8	1	EOREOR	87	27
395	106.11	-9	1	EOREOR	89	6
396	135.1	-1	1	EOREOR	89	6
405	4.096300013065	29	1	EOREOR	20	15
407	1.978679938316	-14	1	EOREOR	20	10
408	1471.35	-2	1	EOREOR	89	6
415	76.7	0	1	EOREOR	89	7
