ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;CODE FAMILLE;CODE SS FAMILLE;LIBELLE FAMILLE;CODE CATEGORIE;CATEGORIE;CODE FABRIQUANT;FABRIQUANT;CODE PAYS;PAYS;CODE FOURNISSEUR;FOURNISSEUR;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CODE CONDITION_VENTE;CONDITION_VENTE
1;1;FRAIS ADMINISTRATIF;;87;0;ARTICLES DIVERS               ;0;;0;;    ;;0;;1.7;0;2;1;136;100;0;1;0;     ;
2;2;DESPERADOS 33VP X24;FRANCE;20;10;BIERE 20/25/33/35CL VP        ;0;;112;BRASSERIE DE L'ESPERANCE;    ;;4;METRO                                                       ;1.3386;0.16043;2;24;0;33;5.9;1;0;2    ;CAISSE
3;3;VERRE BAVIK 50CL;;87;26;VERRERIE                      ;0;;0;;BE  ;BELGIQUE                                ;322;BIBE FAM ! / BAVIK FRANCE SAS.                              ;2;0;2;6;108;100;0;1;0;3    ;CARTONS
4;4;FACT CONSIGNE NON RESTITUEE;PAR CLIENT;91;1;SERVICES FRAIS                ;0;;0;;    ;;0;;30;0;2;1;-46;100;0;1;0;     ;
8;8;EFFET PAPILLON IPA 33VP;BIO;20;10;BIERE 20/25/33/35CL VP        ;1;IPA;199;BRASSERIE EFFET PAPILLON;FR  ;FRANCE                                  ;332;BRASSERIE EFFET PAPILLON                                    ;2.055;0.08158;2;12;-21;33;6;1;0;3    ;CARTONS
10;10;RHUM ABUELO 12 ANEJO 70CL;GRAN RESERVA;1;2;RHUMS TIERS                   ;0;;0;;PA  ;PANAMA                                  ;257;DUGAS                                                       ;27;0;2;6;6;70;40;1;0;3    ;CARTONS
13;13;RHUM ANGOSTURA 1919 AMBRE 70CL;TRINITE-ET-TOBAGO / 8ANS MINI;1;2;RHUMS TIERS                   ;0;;0;;TT  ;TRINIDAD & TOBAGO                       ;257;DUGAS                                                       ;34.3366;0;2;3;4;70;40;1;0;     ;
17;17;RHUM BRUGAL ESP.EXTRA DRY 70CL;REPUBLIQUE DOMINICAINE;1;2;RHUMS TIERS                   ;0;;0;;    ;;259;CAMPARI DISTRIBUTION                                        ;13.3652;0;2;6;17;70;40;1;0;     ;
20;20;RHUM DIPLOMATICO RES.EXCLU 70C;12 ANS AMBRE ETUI CANISTER;1;2;RHUMS TIERS                   ;0;;0;;VE  ;VENEZUELA                               ;257;DUGAS                                                       ;37.1079;0;2;6;0;70;40;1;0;     ;
21;21;RHUM DON PAPA 7 ANS 70CL;PHILIPPINES;1;2;RHUMS TIERS                   ;0;;0;;    ;;257;DUGAS                                                       ;30.5;0;2;6;-1;70;40;1;0;     ;
35;35;FRISURE EPICEA 1ER PRIX 20KG;REF 9271;87;16;CORBEILLES - COFFRETS- CARTONS;0;;0;;    ;;53;DEFFRENNES FRERES S.A.S.                                    ;41.36;0;2;1;1;100;0;1;0;     ;
45;45;MARTINI BLANC 100CL;;1;8;VERMOUTHS                     ;0;;0;;    ;;4;METRO                                                       ;10.4;0;2;6;19;100;14.4;1;0;     ;
46;46;MARTINI ROUGE 100CL;;1;8;VERMOUTHS                     ;0;;0;;    ;;4;METRO                                                       ;10.3;0;2;6;18;100;14.5;1;0;     ;
48;48;RHUM DIPLOMATICO AMBASSADOR 70;COF FUT BOURBON 12A/ VENEZUELA;1;2;RHUMS TIERS                   ;0;;0;;    ;;257;DUGAS                                                       ;156.4704;0;2;1;1;70;47;1;0;     ;
50;50;LILLET BLANC 75CL;;1;14;VINS DE LIQUEUR               ;0;;0;;    ;;4;METRO                                                       ;14.1;0;2;6;14;75;17;1;0;     ;
51;51;LILLET ROUGE 75CL;;1;14;VINS DE LIQUEUR               ;0;;0;;    ;;109;RICARD                                                      ;10.9;0;2;6;6;75;17;1;0;     ;
52;52;LILLET ROSE 75CL;;1;14;VINS DE LIQUEUR               ;0;;0;;    ;;109;RICARD                                                      ;12.129;0;2;6;2;75;17;1;0;     ;
57;57;BERGER PASTIS JAUNE 100 CL;;1;17;ANIS                          ;0;;0;;    ;;362;SVS LA MARTINIQUAISE BLMHD                                  ;13.2868;0;2;6;6;100;45;1;0;     ;
58;58;CASANIS 100CL;;1;17;ANIS                          ;0;;0;;    ;;362;SVS LA MARTINIQUAISE BLMHD                                  ;15.79;0;2;6;9;100;45;1;0;     ;
60;60;PASTIS 51 100CL;;1;17;ANIS                          ;0;;0;;    ;;4;METRO                                                       ;16.1747;0;2;6;11;100;45;1;0;     ;
62;62;RICARD 100CL;;1;17;ANIS                          ;0;;0;;    ;;4;METRO                                                       ;16.95;0;2;6;40;100;45;1;0;     ;
65;65;BITTER AROMATIC ANGOSTURA 20CL;TRINITE-ET-TOBAGO;1;20;BITTERS                       ;0;;0;;TT  ;TRINIDAD & TOBAGO                       ;257;DUGAS                                                       ;16.95;0;3;6;0;20;44.7;1;0;     ;
66;66;PICON BIERE 100CL;;1;20;BITTERS                       ;0;;0;;    ;;4;METRO                                                       ;10.65;0;2;6;8;100;18;1;0;     ;
75;75;BERGER BLANC 100CL;;1;17;ANIS                          ;0;;0;;    ;;362;SVS LA MARTINIQUAISE BLMHD                                  ;15.4099;0;2;6;8;100;45;1;0;     ;
76;76;PINT EDGE;;87;26;VERRERIE                      ;0;;0;;    ;;129;EDGE BREWING                                                ;1.5;0;2;6;0;100;0;1;0;3    ;CARTONS
91;91;ARMAGNAC MAUBET VSOP 70CL;LES ASSEMBLAGES;1;23;ARMAGNAC                      ;0;;187;VIGNOBLES FONTAN;    ;;351;MAISON VOISIN SARL COLLIVET                                 ;35.9235;0;2;6;1;70;42;1;0;     ;
95;95;ABSINTHE VERT & V. BERGER 70CL;;1;29;ABSINTHES                     ;0;;0;;    ;;52;MARIE BRIZARD                                               ;18.5;0;2;6;2;70;55;1;0;     ;
99;99;LIBERTINE FLEUR ABSINTHE 70CL;;1;29;ABSINTHES                     ;0;;0;;    ;;96;RENE DE MISCAULT                                            ;26.083;0;2;1;2;70;60;1;0;     ;
142;142;ANISETTE EXTRA FINE M.B. 70CL;LIQUEUR;1;41;LIQUEURS CREMES               ;0;;0;;    ;;52;MARIE BRIZARD                                               ;11.5;0;2;6;5;70;25;1;0;     ;
144;144;BAILEY'S CREME WHISKY 70CL;;1;41;LIQUEURS CREMES               ;0;;0;;    ;;4;METRO                                                       ;12.85;0;2;6;6;70;17;1;0;     ;
146;146;LIQ AMARULA FRUIT CREAM 70CL;;1;41;LIQUEURS CREMES               ;0;;0;;ZA  ;AFRIQUE DU SUD                          ;333;LMDW DISTRIBUTION                                           ;15.75;0;2;6;7;70;17;1;0;     ;
147;147;CHOUFFE COFFEE LIQUEUR   70CL;;1;41;LIQUEURS CREMES               ;0;;0;;    ;;13;VANUXEEM BROUWERIJ SA/NV                                    ;12.65;0;2;6;10;70;20;1;0;     ;
