ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
1;1;FRAIS ADMINISTRATIF;;0;1.7;0;2;1;101;100;0;1;0;     ;0
2;2;DESPERADOS 33VP X24;FRANCE;112;1.317;0.15771;2;24;192;33;5.9;1;0;2    ;0
3;3;VERRE BAVIK 50CL;;0;2;0;2;6;108;100;0;1;0;3    ;0
4;4;FACT CONSIGNE NON RESTITUEE;PAR CLIENT;0;30;0;2;1;-46;100;0;1;0;     ;0
8;8;EFFET PAPILLON IPA 33VP;BIO;199;2.025;0.08019;2;12;4;33;6;1;0;3    ;0
10;10;RHUM ABUELO 12 ANEJO 70CL;GRAN RESERVA;0;31.5;0;2;6;5;70;40;1;0;3    ;0
13;13;RHUM ANGOSTURA 1919 AMBRE 70CL;TRINITE-ET-TOBAGO / 8ANS MINI;0;34.3366;0;2;3;3;70;40;1;0;     ;0
16;16;RHUM BRUGAL ANEJO 70CL;REPUBLIQUE DOMINICAINE;0;14.2;0;2;6;-1;70;38;1;0;     ;0
17;17;RHUM BRUGAL ESP.EXTRA DRY 70CL;REPUBLIQUE DOMINICAINE;0;13.3652;0;2;6;15;70;40;1;0;     ;0
20;20;RHUM DIPLOMATICO RES.EXCLU 70C;12 ANS AMBRE ETUI CANISTER;0;37.1079;0;2;6;6;70;40;1;0;     ;0
21;21;RHUM DON PAPA 7 ANS 70CL;PHILIPPINES;0;30.5;0;2;6;4;70;40;1;0;     ;0
30;30;RHUM SANTIAGO CUBA C.BLANCA 70;CUBA;0;11.4;0;2;6;12;70;38;1;0;     ;0
35;35;FRISURE EPICEA 1ER PRIX 20KG;REF 9271;0;41.36;0;2;1;1;100;0;1;0;     ;0
36;36;RHUM SAINT JAMES PAILLE 70CL;FOUDRES CHENE / MARTINIQUE;0;12;0;2;6;0;70;40;1;0;     ;0
42;42;RHUM LA MAUNY BLANC 40°   70CL;MARTINIQUE;0;8.9;0;2;6;0;70;40;1;0;     ;0
45;45;MARTINI BLANC 100CL;;0;9.5;0;2;6;15;100;14.4;1;0;     ;0
46;46;MARTINI ROUGE 100CL;;0;9.5;0;2;6;7;100;14.5;1;0;     ;0
48;48;RHUM DIPLOMATICO AMBASSADOR 70;COF FUT BOURBON 12A/ VENEZUELA;0;156.4704;0;2;1;1;70;47;1;0;     ;0
50;50;LILLET BLANC 75CL;;0;13.72;0;2;6;9;75;17;1;0;     ;0
51;51;LILLET ROUGE 75CL;;0;10.9;0;2;6;0;75;17;1;0;     ;0
52;52;LILLET ROSE 75CL;;0;12.129;0;2;6;5;75;17;1;0;     ;0
57;57;BERGER PASTIS JAUNE 100 CL;;0;13.2868;0;2;6;6;100;45;1;0;     ;0
58;58;CASANIS 100CL;;0;15.79;0;2;6;13;100;45;1;0;     ;0
60;60;PASTIS 51 100CL;;0;16.02;0;2;6;30;100;45;1;0;     ;0
62;62;RICARD 100CL;;0;17.05;0;2;6;9;100;45;1;0;     ;0
65;65;BITTER AROMATIC ANGOSTURA 20CL;TRINITE-ET-TOBAGO;0;16.95;0;3;6;9;20;44.7;1;0;     ;0
66;66;PICON BIERE 100CL;;0;10.65;0;2;6;21;100;18;1;0;     ;0
75;75;BERGER BLANC 100CL;;0;15.4099;0;2;6;8;100;45;1;0;     ;0
76;76;PINT EDGE;;0;1.5;0;2;6;0;100;0;1;0;3    ;0
91;91;ARMAGNAC MAUBET VSOP 70CL;;187;35.9235;0;2;6;8;70;42;1;0;     ;0
95;95;ABSINTHE VERT & V. BERGER 70CL;;0;18.5;0;2;6;2;70;55;1;0;     ;0
99;99;LIBERTINE FLEUR ABSINTHE 70CL;;0;26.083;0;2;1;2;70;60;1;0;     ;0
111;111;FIAT 500 POIRE W. 20 CL;COFFRET;0;29.746;0;2;1;1;20;43;1;0;     ;0
118;118;COF VOITURE COURSE PRUNE 35CL;COFFRET BOIS;0;34.277;0;2;1;1;35;43;1;0;     ;0
138;138;GIN HENDRICK'S 70CL;ECOSSE;0;26.25;0;2;6;0;70;41.4;1;0;     ;0
142;142;ANISETTE EXTRA FINE M.B. 70CL;LIQUEUR;0;11.5;0;2;6;5;70;25;1;0;     ;0
144;144;BAILEY'S CREME WHISKY 70CL;;0;12.834;0;2;6;13;70;17;1;0;     ;0
146;146;LIQ AMARULA FRUIT CREAM 70CL;;0;15.75;0;2;6;7;70;17;1;0;     ;0
147;147;CHOUFFE COFFEE LIQUEUR   70CL;;0;12.65;0;2;6;11;70;20;1;0;     ;0
148;148;WHISKY BIG PEAT TOURBE 70CL;SMALL BATCH / ECOSSE ISLAY;0;33;0;2;6;2;70;46;1;0;     ;0
152;152;COINTREAU LIQUEUR 70CL;;0;16.45;0;2;6;5;70;40;1;0;     ;0
154;154;LIQUEUR CACAO BRUN MB 70CL;;0;10.1;0;2;6;2;70;25;1;0;     ;0
156;156;GIN CHRISTIAN DROUIN BLEU 70CL;DISTIL A BASE  CIDRE NORMANDIE;0;22.99;0;2;6;3;70;42;1;0;     ;0
164;164;JAGERMEISTER 70 CL;;0;13.2;0;2;6;0;70;35;1;0;     ;0
166;166;KRUPNIK VODKA AROM.MIEL EPI 70;MIEL/EPICES/HERBES - POLOGNE;0;13.2;0;2;6;5;70;38;1;0;     ;0
171;171;LIQUEUR CURACAO BLEU 70CL;GIFFARD;0;10.8;0;2;6;4;70;25;1;0;     ;0
173;173;LIQ DANZINGER GOLDWASSER 70CL;LIQUEUR HERB PRECIEUSES;0;19;0;2;6;0;70;40;1;0;     ;0
176;176;LIQUEUR ABRICOT MB 70 CL;;0;10.4;0;2;6;1;70;30;1;0;     ;0
181;181;LIQUEUR SOUTHERN COMFORT 70CL;KENTUCKY ETATS-UNIS;0;19.8;0;2;6;8;70;35;1;0;     ;0
182;182;PARFAIT TRIPLE SEC 70CL;GIFFARD;0;12.8;0;2;6;12;70;39;1;0;     ;0
183;183;LIQUEUR FIREBALL 70CL;INFUSEE A LA CANNELLE / CANADA;0;19.05;0;2;6;11;70;33;1;0;     ;0
185;185;FONTAINE TIKI VIDE 5L;;0;16.6659;0;2;1;0;100;0;1;0;3    ;0
188;188;MINT'S VERT 15° MB 70CL;;0;10.24;0;2;6;0;70;15;1;0;     ;0
190;190;PISANG AMBON LIQUEUR 70CL;BANANE VERTE /FRUITS TROP;0;11.17;0;2;6;7;70;17;1;0;     ;0
192;192;VODKA ARRANGE STOLI CITROS 70C;RUSSE;0;13.961;0;2;6;17;70;37.5;1;0;     ;0
193;193;VODKA ARRANGE STOLI HOT 70CL;RUSSE;0;13.961;0;2;6;13;70;37.5;1;0;     ;0
197;197;VODKA ARRANGE STOLI MIEL 70CL;STICKI / MOSCOU RUSSIE;0;13.691;0;2;6;11;70;37.5;1;0;     ;0
206;206;VODKA SOBIESKI 70CL;POLOGNE;0;10.85;0;2;6;1;70;37.5;1;0;     ;0
210;210;VODKA ZUBROWKA HERB BISON 70CL;POLOGNE;0;14.3;0;2;6;3;70;40;1;0;     ;0
211;211;VODKA ZUBROWKA BIALA 70CL;WINTER RYE / POLOGNE;0;11.15;0;2;6;0;70;40;1;0;     ;0
212;212;TEQUILA JOSE CUERVO GOLD 70CL;ESPECIAL REPOSADO;0;18;0;2;6;7;70;38;1;0;     ;0
223;223;WH.LAPHROAIG QUARTER CASK 70CL;SINGLE MALT TOURBÉ;0;42.1989;0;2;3;5;70;48;1;0;3    ;30
225;225;WHISKY TOKINOKA WHITE 40° 50CL;BLENDED / AKASHI JAPON;0;27.45;0;2;6;6;50;40;1;0;     ;0
233;233;WHISKY BALLANTINES 21A 70CL;ETUI/BLENDED SCOTCH/ECOSSE;0;122.397;0;2;6;1;70;43;1;0;     ;0
234;234;WHISKY BALLANTINES 30A 70CL;ETUI/BLENDED SCOTCH/ECOSSE;0;256.837;0;2;6;0;70;40;1;0;     ;0
245;245;WHISKY GLENFIDDICH 12A 70CL;ECOSSE SINGLE MALT;0;35.8004;0;2;6;2;70;40;1;0;     ;0
255;255;WHISKY MAKERS MARK ETUI 70CL;BOURBON /  ETATS-UNIS KENTUCKY;0;28.9575;0;2;6;-2;70;45;1;0;     ;0
257;257;WHISKY JACK DANIEL'S N°7  70CL;BOURBON / ETATS-UNIS KENTUCKY;0;17.9;0;2;6;17;70;40;1;0;     ;0
258;258;WH JIM BEAM WHITE 70CL;BOURBON / ETATS-UNIS KENTUCKY;0;9.8774;0;2;6;87;70;40;1;0;     ;0
264;264;WH CONNEMARA DISTILLER'S 70CL;EDITION SINGLE MALT/ IRLANDE;0;29.95;0;2;6;1;70;43;1;0;     ;0
275;275;WHISKY PADDY 70CL;BLEND IRLANDAIS;0;15.8;0;2;6;6;70;40;1;0;     ;0
284;284;COF THE HOLA LAMA 65G;1 MUG / THE GOUT COQUELICOT;0;13.0625;0;2;6;1;100;0;1;0;3    ;0
291;291;MAUBET CUVEE COUP COEUR 75CL;BLANC DOUX GASCOGNE;187;5.778;0;2;6;28;75;12.5;1;0;     ;23
296;296;TATTOO SAUVIGNON GROS MANS 75C;VIGNOBLE FONTAN;187;5.5;0;2;6;0;75;11;1;0;     ;23
297;297;MAUBET BLANC SEC FRUITE 75CL;COTES DE GASCOGNE;187;4.2;0;2;6;13;75;11.5;1;0;     ;22
298;298;RHUM ARRANGE EPICES 70CL;METISSARTISANAL / LA REUNION;0;19.2871;0;2;6;2;70;23.7;1;0;     ;0
302;302;LONGUEROCHE L'OC BLANC 75CL;;226;4.86;0;2;6;18;75;13;1;0;     ;22
303;303;LONGUEROCHE L'OC ROSE 75CL;;226;4.86;0;2;6;84;75;13;1;0;     ;21
304;304;LONGUEROCHE L'OC ROUGE 75CL;;226;4.86;0;2;6;25;75;13;1;0;     ;20
305;305;LONGUEROCHE LE VIOGNIER  75CL;BLANC;226;7.02;0;2;6;36;75;13;1;0;     ;22
327;327;RAMON BILBAO CRIANZA 75CL;ESPAGNE;0;5.418;0;2;6;6;75;13.5;1;0;     ;0
332;332;ESCUDO ROJO CHARDONNAY 75CL;RESERVA CHILI 2022;0;13.338;0;2;6;9;75;14;1;0;     ;0
333;333;ESCUDO ROJO ROUGE 2022 75CL;GRAN RESERVA CHILI;0;14.482;0;2;6;24;75;14;1;0;     ;0
368;368;LA CLEF DU VIN TRAVEL PEUGEOT;;0;37.0375;0;2;1;1;100;0;1;0;     ;0
369;369;CARAFE PICPOUL BEC BISEAUTE;POSITION DROITE INCLINEE;0;25.1;0;2;1;2;100;0;1;0;     ;0
370;370;VERRE ESPRIT 180 MERLOT 40CL;PEUGEOT 1 PIECE;0;8.55;0;2;1;8;100;0;1;0;     ;0
389;389;CH BEGADAN 2015 RGE 75CL;MDC RECOLTANT/MED OR + ARGENT;0;8.125;0;2;6;1;75;13;1;0;     ;20
395;395;DÉTENDEURS INTERM 3 SORTIES;VANNE MICRO MATIC GUEST 3/8;0;106.11;0;2;1;-9;100;0;1;0;     ;0
396;396;DETENDEUR PRINC AP.GAUCHE;1 SORTIE GUEST AVEC VANNE;0;135.1;0;2;1;-1;100;0;1;0;     ;0
405;405;EFFET PAPILLON IPA 75VP;BIO;199;3.939;0.18225;2;6;1;75;6;1;0;3    ;1
407;407;EFFET PAP PALE ALE 33VP;BIO;199;1.9787;0.07351;2;12;55;33;5.5;1;0;3    ;8
408;408;GROUPE OCCASION;;0;1471.35;0;2;1;-2;100;0;1;0;     ;0
