ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
1;1;1.7;101;2;both;1;FRAIS ADMINISTRATIF           ;;100;0;0
2;2;1.32;192;2;both;1;DESPERADOS 33VP X24           ;BRASSERIE DE L'ESPERANCE;33;5.9;0
3;3;2;108;2;both;1;VERRE BAVIK 50CL              ;;100;0;0
4;4;30;-46;2;both;1;FACT CONSIGNE NON RESTITUEE   ;;100;0;0
8;8;2.03;4;2;both;1;EFFET PAPILLON IPA 33VP       ;BRASSERIE EFFET PAPILLON;33;6;0
10;10;31.5;5;2;both;1;RHUM ABUELO 12 ANEJO 70CL     ;;70;40;0
13;13;34.34;3;2;both;1;RHUM ANGOSTURA 1919 AMBRE 70CL;;70;40;0
16;16;14.2;-1;2;both;1;RHUM BRUGAL ANEJO 70CL        ;;70;38;0
17;17;13.37;15;2;both;1;RHUM BRUGAL ESP.EXTRA DRY 70CL;;70;40;0
20;20;37.11;6;2;both;1;RHUM DIPLOMATICO RES.EXCLU 70C;;70;40;0
21;21;30.5;4;2;both;1;RHUM DON PAPA 7 ANS 70CL      ;;70;40;0
30;30;11.4;12;2;both;1;RHUM SANTIAGO CUBA C.BLANCA 70;;70;38;0
35;35;41.36;1;2;both;1;FRISURE EPICEA 1ER PRIX 20KG  ;;100;0;0
36;36;12;0;2;both;1;RHUM SAINT JAMES PAILLE 70CL  ;;70;40;0
42;42;8.9;0;2;both;1;RHUM LA MAUNY BLANC 40°   70CL;;70;40;0
45;45;9.5;15;2;both;1;MARTINI BLANC 100CL           ;;100;14.4;0
46;46;9.5;7;2;both;1;MARTINI ROUGE 100CL           ;;100;14.5;0
48;48;156.47;1;2;both;1;RHUM DIPLOMATICO AMBASSADOR 70;;70;47;0
50;50;13.72;9;2;both;1;LILLET BLANC 75CL             ;;75;17;0
51;51;10.9;0;2;both;1;LILLET ROUGE 75CL             ;;75;17;0
52;52;12.13;5;2;both;1;LILLET ROSE 75CL              ;;75;17;0
57;57;13.29;6;2;both;1;BERGER PASTIS JAUNE 100 CL    ;;100;45;0
58;58;15.79;13;2;both;1;CASANIS 100CL                 ;;100;45;0
60;60;16.02;30;2;both;1;PASTIS 51 100CL               ;;100;45;0
62;62;17.05;9;2;both;1;RICARD 100CL                  ;;100;45;0
65;65;16.95;9;3;both;1;BITTER AROMATIC ANGOSTURA 20CL;;20;44.7;0
66;66;10.65;21;2;both;1;PICON BIERE 100CL             ;;100;18;0
75;75;15.41;8;2;both;1;BERGER BLANC 100CL            ;;100;45;0
76;76;1.5;0;2;both;1;PINT EDGE                     ;;100;0;0
91;91;35.92;8;2;both;1;ARMAGNAC MAUBET VSOP 70CL     ;VIGNOBLES FONTAN;70;42;0
95;95;18.5;2;2;both;1;ABSINTHE VERT & V. BERGER 70CL;;70;55;0
99;99;26.08;2;2;both;1;LIBERTINE FLEUR ABSINTHE 70CL ;;70;60;0
111;111;29.75;1;2;both;1;FIAT 500 POIRE W. 20 CL       ;;20;43;0
118;118;34.28;1;2;both;1;COF VOITURE COURSE PRUNE 35CL ;;35;43;0
138;138;26.25;0;2;both;1;GIN HENDRICK'S 70CL           ;;70;41.4;0
142;142;11.5;5;2;both;1;ANISETTE EXTRA FINE M.B. 70CL ;;70;25;0
144;144;12.83;13;2;both;1;BAILEY'S CREME WHISKY 70CL    ;;70;17;0
146;146;15.75;7;2;both;1;LIQ AMARULA FRUIT CREAM 70CL  ;;70;17;0
147;147;12.65;11;2;both;1;CHOUFFE COFFEE LIQUEUR   70CL ;;70;20;0
148;148;33;2;2;both;1;WHISKY BIG PEAT TOURBE 70CL   ;;70;46;0
152;152;16.45;5;2;both;1;COINTREAU LIQUEUR 70CL        ;;70;40;0
154;154;10.1;2;2;both;1;LIQUEUR CACAO BRUN MB 70CL    ;;70;25;0
156;156;22.99;3;2;both;1;GIN CHRISTIAN DROUIN BLEU 70CL;;70;42;0
164;164;13.2;0;2;both;1;JAGERMEISTER 70 CL            ;;70;35;0
166;166;13.2;5;2;both;1;KRUPNIK VODKA AROM.MIEL EPI 70;;70;38;0
171;171;10.8;4;2;both;1;LIQUEUR CURACAO BLEU 70CL     ;;70;25;0
173;173;19;0;2;both;1;LIQ DANZINGER GOLDWASSER 70CL ;;70;40;0
176;176;10.4;1;2;both;1;LIQUEUR ABRICOT MB 70 CL      ;;70;30;0
181;181;19.8;8;2;both;1;LIQUEUR SOUTHERN COMFORT 70CL ;;70;35;0
182;182;12.8;12;2;both;1;PARFAIT TRIPLE SEC 70CL       ;;70;39;0
183;183;19.05;11;2;both;1;LIQUEUR FIREBALL 70CL         ;;70;33;0
185;185;16.67;0;2;both;1;FONTAINE TIKI VIDE 5L         ;;100;0;0
188;188;10.24;0;2;both;1;MINT'S VERT 15° MB 70CL       ;;70;15;0
190;190;11.17;7;2;both;1;PISANG AMBON LIQUEUR 70CL     ;;70;17;0
192;192;13.96;17;2;both;1;VODKA ARRANGE STOLI CITROS 70C;;70;37.5;0
193;193;13.96;13;2;both;1;VODKA ARRANGE STOLI HOT 70CL  ;;70;37.5;0
197;197;13.69;11;2;both;1;VODKA ARRANGE STOLI MIEL 70CL ;;70;37.5;0
206;206;10.85;1;2;both;1;VODKA SOBIESKI 70CL           ;;70;37.5;0
210;210;14.3;3;2;both;1;VODKA ZUBROWKA HERB BISON 70CL;;70;40;0
211;211;11.15;0;2;both;1;VODKA ZUBROWKA BIALA 70CL     ;;70;40;0
212;212;18;7;2;both;1;TEQUILA JOSE CUERVO GOLD 70CL ;;70;38;0
223;223;42.2;5;2;both;1;WH.LAPHROAIG QUARTER CASK 70CL;;70;48;30
225;225;27.45;6;2;both;1;WHISKY TOKINOKA WHITE 40° 50CL;;50;40;0
233;233;122.4;1;2;both;1;WHISKY BALLANTINES 21A 70CL   ;;70;43;0
234;234;256.84;0;2;both;1;WHISKY BALLANTINES 30A 70CL   ;;70;40;0
245;245;35.8;2;2;both;1;WHISKY GLENFIDDICH 12A 70CL   ;;70;40;0
255;255;28.96;-2;2;both;1;WHISKY MAKERS MARK ETUI 70CL  ;;70;45;0
257;257;17.9;17;2;both;1;WHISKY JACK DANIEL'S N°7  70CL;;70;40;0
258;258;9.88;87;2;both;1;WH JIM BEAM WHITE 70CL        ;;70;40;0
264;264;29.95;1;2;both;1;WH CONNEMARA DISTILLER'S 70CL ;;70;43;0
275;275;15.8;6;2;both;1;WHISKY PADDY 70CL             ;;70;40;0
284;284;13.06;1;2;both;1;COF THE HOLA LAMA 65G         ;;100;0;0
291;291;5.78;28;2;both;1;MAUBET CUVEE COUP COEUR 75CL  ;VIGNOBLES FONTAN;75;12.5;23
296;296;5.5;0;2;both;1;TATTOO SAUVIGNON GROS MANS 75C;VIGNOBLES FONTAN;75;11;23
297;297;4.2;13;2;both;1;MAUBET BLANC SEC FRUITE 75CL  ;VIGNOBLES FONTAN;75;11.5;22
298;298;19.29;2;2;both;1;RHUM ARRANGE EPICES 70CL      ;;70;23.7;0
302;302;4.86;18;2;both;1;LONGUEROCHE L'OC BLANC 75CL   ;DOMAINE LONGUEROCHE;75;13;22
303;303;4.86;84;2;both;1;LONGUEROCHE L'OC ROSE 75CL    ;DOMAINE LONGUEROCHE;75;13;21
304;304;4.86;25;2;both;1;LONGUEROCHE L'OC ROUGE 75CL   ;DOMAINE LONGUEROCHE;75;13;20
305;305;7.02;36;2;both;1;LONGUEROCHE LE VIOGNIER  75CL ;DOMAINE LONGUEROCHE;75;13;22
327;327;5.42;6;2;both;1;RAMON BILBAO CRIANZA 75CL     ;;75;13.5;0
332;332;13.34;9;2;both;1;ESCUDO ROJO CHARDONNAY 75CL   ;;75;14;0
333;333;14.48;24;2;both;1;ESCUDO ROJO ROUGE 2022 75CL   ;;75;14;0
368;368;37.04;1;2;both;1;LA CLEF DU VIN TRAVEL PEUGEOT ;;100;0;0
369;369;25.1;2;2;both;1;CARAFE PICPOUL BEC BISEAUTE   ;;100;0;0
370;370;8.55;8;2;both;1;VERRE ESPRIT 180 MERLOT 40CL  ;;100;0;0
389;389;8.13;1;2;both;1;CH BEGADAN 2015 RGE 75CL      ;;75;13;20
395;395;106.11;-9;2;both;1;DÉTENDEURS INTERM 3 SORTIES   ;;100;0;0
396;396;135.1;-1;2;both;1;DETENDEUR PRINC AP.GAUCHE     ;;100;0;0
405;405;3.94;1;2;both;1;EFFET PAPILLON IPA 75VP       ;BRASSERIE EFFET PAPILLON;75;6;1
407;407;1.98;55;2;both;1;EFFET PAP PALE ALE 33VP       ;BRASSERIE EFFET PAPILLON;33;5.5;8
408;408;1471.35;-2;2;both;1;GROUPE OCCASION               ;;100;0;0
412;412;4.35;1;2;both;1;TERRAE VERITAS BLANC SEC 75CL ;;75;12;22
413;413;4.29;0;2;both;1;TERRAE VERITAS ROUGE 75CL     ;;75;13;20
415;415;76.7;0;2;both;1;ADAPTATEUR RINCAGE TETE CREUSE;;100;0;0
418;418;6.73;0;2;both;1;DAMIENS PACH V BLANC SEC 75CL ;;75;13.5;22
423;423;1690;0;2;both;1;FROID SEC 1 TIRAGE 1/3CV 70L/H;;100;0;0
429;429;9.86;1;2;both;1; LONGUEROCHE AURELIEN RGE 75CL;DOMAINE LONGUEROCHE;75;14.5;20
432;432;1471.35;0;2;both;1;GROUPE FC LINE CONV 70 -1/2CV ;;100;0;0
434;434;6.3;76;2;both;1;LONGUEROCHE TRADITION RGE 75CL;DOMAINE LONGUEROCHE;75;13;20
435;435;4.86;-2;2;both;1;LONGUEROCHE ROSE AOC 75CL     ;;75;12.5;21
436;436;15.46;5;2;both;1;LONGUEROCHE C RAOUL RGE 75CL  ;DOMAINE LONGUEROCHE;75;13.5;20
437;437;8.5;51;2;both;1;LONGUEROCHE C RESERVEE RG 75CL;DOMAINE LONGUEROCHE;75;13;20
438;438;32.37;21;2;both;1;BIB 10L FUT CHENE ROUGE       ;DOMAINE LONGUEROCHE;1000;12.5;20
439;439;24.57;6;2;both;1;BIB 10L TRADITION ROUGE 12°5  ;DOMAINE LONGUEROCHE;1000;12.5;20
440;440;19.37;13;2;both;1;BIB 5L FUT CHENE ROUGE        ;DOMAINE LONGUEROCHE;500;12.5;20
441;441;14.17;6;2;both;1;BIB 5L TRADITION ROUGE 12°5   ;DOMAINE LONGUEROCHE;500;12.5;20
478;478;5.8;0;2;both;1;CHOUCHEN 75CL  HYDROMELLERIE  ;;75;13;0
479;479;10.95;17;2;both;1;SUZE 100CL                    ;;100;15;0
481;481;12.04;1;2;both;1;PASSOA 70CL                   ;;70;15;0
483;483;26.22;5;2;both;1;BIB 3L MUSCAT RIVESALTES      ;;300;15.5;0
485;485;8.1;12;2;both;1;MUSCAT VALAURIA 100CL         ;;100;15.5;0
510;510;3.85;30;2;both;1;KARMELIET TRIPLE 30L          ;BRASSERIE BOSTEELS;100;8;10
522;522;2.85;480;2;both;1;RATZ AMBREE 30L               ;BRASSERIE RATZ;100;5.5;4
523;523;2.78;1560;2;both;1;RATZ BLONDE 30L               ;BRASSERIE RATZ;100;4.5;7
525;525;2.14;1560;2;both;1;SAS PILS 30L                  ;BRASSERIE HET SAS;100;5;7
528;528;3.15;450;2;both;1;HOMMELBIER 30L                ;BRASSERIE VAN EECKE;100;7.5;10
535;535;3.84;1400;2;both;1;ST STEFANUS BLONDE 20L        ;ASAHI;100;7;10
549;549;3.05;720;2;both;1;RATZ BLANCHE 30L              ;BRASSERIE RATZ;100;4.5;3
557;557;3.25;0;2;both;1;RATZ NOEL 30L                 ;BRASSERIE RATZ;100;6;4
558;558;4.1;1680;2;both;1;LUPULUS TRIPLE BLONDE 20L     ;BRASSERIE LUPULUS;100;8.5;10
561;561;3.8;260;2;both;1;DUPONT MONKS STOUT 20L        ;BRASSERIE DUPONT;100;5.2;5
583;583;4.6;20;2;both;1;MOINETTE AMBREE 20L           ;BRASSERIE DUPONT;100;8.5;4
590;590;4.13;0;2;both;1;DUPONT BLANCHE HAINAUT BIO 20L;BRASSERIE DUPONT;100;5.5;0
603;603;1.91;224;2;both;1;BOON FRAMBOISE 25VC           ;BRASSERIE BOON ;25;5;13
604;604;1.44;293;2;both;1;BOON KRIEK 25VC               ;BRASSERIE BOON ;25;4;13
605;605;1.36;162;2;both;1;BOON FARO 25VC                ;BRASSERIE BOON ;25;5;13
610;610;1.57;99;2;both;1;DUCHESSE BOURGOGNE 25VC       ;BRASSERIE VERHAEGHE;25;6.2;0
611;611;1.19;483;2;both;1;GRISETTE BLANCHE BIO 25VC     ;BRASSERIE SAINT FEUILLIEN;25;5.5;3
612;612;1.19;507;2;both;1;GRISETTE BLONDE BIO 25VC      ;BRASSERIE SAINT FEUILLIEN;25;5.5;7
614;614;0.99;288;2;both;1;HOMMELBIER 25VC               ;BRASSERIE VAN EECKE;25;7.5;0
622;622;1.23;375;2;both;1;LINDEMANS KRIEK 25VC          ;BRASSERIE LINDEMANS;25;3.5;0
625;625;1.03;82;2;both;1;LINDEMANS GUEUZE 25VC         ;BRASSERIE LINDEMANS;25;5;13
627;627;0.95;216;2;both;1;BLANCHE DE NAMUR 25VC         ;BRASSERIE DU BOCQ;25;4.5;3
642;642;1.63;82;2;both;1;AREND BLONDE 33VC             ;BRASSERIE DE RYCK;33;6.5;7
644;644;1.83;125;2;both;1;AREND TRIPLE 33VC             ;BRASSERIE DE RYCK;33;8;10
